Avrora [Beta 1.7.117] - (c) 2003-2007 UCLA Compilers Group

Loading ../bin/aot.elf...OK
=={ Simulation events }=======================================================
Node          Time   Event
------------------------------------------------------------------------------
   0          2473  [avrora.c-print] 1 0000
   0       1731058  [avrora.c-print] 11      emit | [LOCAL.GET 12]
   0       1736063  [avrora.c-print] 11      emit | Ld R22. from local[28]
   0       1739107  [avrora.c-print] 11      emit | push32
   0       1742107  [avrora.c-print] 11      emit | s: 1
   0       1746391  [avrora.c-print] 11      emit | [I32.CONST 4]
   0       1750348  [avrora.c-print] 11      emit | load 4 to R22.
   0       1753314  [avrora.c-print] 11      emit | push32
   0       1756312  [avrora.c-print] 11      emit | s: 2
   0       1759502  [avrora.c-print] 11      emit | [I32.ADD]
   0       1762984  [avrora.c-print] 11      emit | pop32 to R22.
   0       1766705  [avrora.c-print] 11      emit | pop32 to R18.
   0       1771702  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1774676  [avrora.c-print] 11      emit | push32
   0       1777674  [avrora.c-print] 11      emit | s: 1
   0       1782147  [avrora.c-print] 11      emit | [LOCAL.SET 12]
   0       1785861  [avrora.c-print] 11      emit | pop32 to R22...
   0       1791453  [avrora.c-print] 11      emit | Store R22... to local[28]
   0       1794586  [avrora.c-print] 11      emit | s: 0
   0       1799065  [avrora.c-print] 11      emit | [LOCAL.GET 14]
   0       1804070  [avrora.c-print] 11      emit | Ld R22. from local[36]
   0       1807114  [avrora.c-print] 11      emit | push32
   0       1810114  [avrora.c-print] 11      emit | s: 1
   0       1814347  [avrora.c-print] 11      emit | [LOCAL.GET 0]
   0       1819359  [avrora.c-print] 11      emit | Ld R22. from param[68]
   0       1822406  [avrora.c-print] 11      emit | push32
   0       1825406  [avrora.c-print] 11      emit | s: 2
   0       1828596  [avrora.c-print] 11      emit | [I32.ADD]
   0       1832078  [avrora.c-print] 11      emit | pop32 to R22.
   0       1835799  [avrora.c-print] 11      emit | pop32 to R18.
   0       1840796  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1843770  [avrora.c-print] 11      emit | push32
   0       1846768  [avrora.c-print] 11      emit | s: 1
   0       1851241  [avrora.c-print] 11      emit | [LOCAL.SET 14]
   0       1854955  [avrora.c-print] 11      emit | pop32 to R22...
   0       1860547  [avrora.c-print] 11      emit | Store R22... to local[36]
   0       1863680  [avrora.c-print] 11      emit | s: 0
   0       1868159  [avrora.c-print] 11      emit | [LOCAL.GET 13]
   0       1873164  [avrora.c-print] 11      emit | Ld R22. from local[32]
   0       1876208  [avrora.c-print] 11      emit | push32
   0       1879208  [avrora.c-print] 11      emit | s: 1
   0       1883492  [avrora.c-print] 11      emit | [I32.CONST 1]
   0       1887449  [avrora.c-print] 11      emit | load 1 to R22.
   0       1893615  [avrora.c-print] 11      emit | push/pop optimized
   0       1898943  [avrora.c-print] 11      emit | push/pop optimized
   0       1904098  [avrora.c-print] 11      emit | push/pop optimized
   0       1908786  [avrora.c-print] 11      emit | push/pop optimized
   0       1912857  [avrora.c-print] 11      emit | push32
   0       1915855  [avrora.c-print] 11      emit | s: 2
   0       1919045  [avrora.c-print] 11      emit | [I32.ADD]
   0       1922527  [avrora.c-print] 11      emit | pop32 to R22.
   0       1926248  [avrora.c-print] 11      emit | pop32 to R18.
   0       1931245  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       1934219  [avrora.c-print] 11      emit | push32
   0       1937217  [avrora.c-print] 11      emit | s: 1
   0       1941690  [avrora.c-print] 11      emit | [LOCAL.SET 13]
   0       1945404  [avrora.c-print] 11      emit | pop32 to R22...
   0       1950996  [avrora.c-print] 11      emit | Store R22... to local[32]
   0       1954129  [avrora.c-print] 11      emit | s: 0
   0       1958608  [avrora.c-print] 11      emit | [LOCAL.GET 11]
   0       1963613  [avrora.c-print] 11      emit | Ld R22. from local[24]
   0       1966657  [avrora.c-print] 11      emit | push32
   0       1969657  [avrora.c-print] 11      emit | s: 1
   0       1974076  [avrora.c-print] 11      emit | [I32.CONST -1]
   0       1978127  [avrora.c-print] 11      emit | load -1 to R22.
   0       1981093  [avrora.c-print] 11      emit | push32
   0       1984091  [avrora.c-print] 11      emit | s: 2
   0       1987281  [avrora.c-print] 11      emit | [I32.ADD]
   0       1990763  [avrora.c-print] 11      emit | pop32 to R22.
   0       1994484  [avrora.c-print] 11      emit | pop32 to R18.
   0       1999481  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       2002455  [avrora.c-print] 11      emit | push32
   0       2005453  [avrora.c-print] 11      emit | s: 1
   0       2009926  [avrora.c-print] 11      emit | [LOCAL.TEE 11]
   0       2013640  [avrora.c-print] 11      emit | pop32 to R22...
   0       2019232  [avrora.c-print] 11      emit | Store R22... to local[24]
   0       2022276  [avrora.c-print] 11      emit | push32
   0       2026284  [avrora.c-print] 11      emit | [BR_IF 0]
   0       2029282  [avrora.c-print] 11      emit | s: 0
   0       2032363  [avrora.c-print] 11      emit | br 4
   0       2036406  [avrora.c-print] 11      emit | [END]:0x787c
   0       2039864  [avrora.c-print] 11      emit | of block 3
   0       2044159  [avrora.c-print] 11      emit | [LOCAL.GET 7]
   0       2048924  [avrora.c-print] 11      emit | Ld R22. from local[8]
   0       2051968  [avrora.c-print] 11      emit | push32
   0       2054968  [avrora.c-print] 11      emit | s: 1
   0       2059387  [avrora.c-print] 11      emit | [I32.CONST -1]
   0       2063438  [avrora.c-print] 11      emit | load -1 to R22.
   0       2066404  [avrora.c-print] 11      emit | push32
   0       2072219  [avrora.c-print] 11      emit | push/pop optimized
   0       2077803  [avrora.c-print] 11      emit | push/pop optimized
   0       2083214  [avrora.c-print] 11      emit | push/pop optimized
   0       2088158  [avrora.c-print] 11      emit | push/pop optimized
   0       2092826  [avrora.c-print] 11      emit | push/pop optimized
   0       2182560  [avrora.c-print] 11      emit | s: 2
   0       2185750  [avrora.c-print] 11      emit | [I32.ADD]
   0       2189232  [avrora.c-print] 11      emit | pop32 to R22.
   0       2192953  [avrora.c-print] 11      emit | pop32 to R18.
   0       2197950  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       2200924  [avrora.c-print] 11      emit | push32
   0       2203922  [avrora.c-print] 11      emit | s: 1
   0       2208155  [avrora.c-print] 11      emit | [LOCAL.SET 7]
   0       2211869  [avrora.c-print] 11      emit | pop32 to R22...
   0       2217221  [avrora.c-print] 11      emit | Store R22... to local[8]
   0       2220354  [avrora.c-print] 11      emit | s: 0
   0       2224593  [avrora.c-print] 11      emit | [LOCAL.GET 8]
   0       2229598  [avrora.c-print] 11      emit | Ld R22. from local[12]
   0       2232642  [avrora.c-print] 11      emit | push32
   0       2235642  [avrora.c-print] 11      emit | s: 1
   0       2239926  [avrora.c-print] 11      emit | [I32.CONST 4]
   0       2243883  [avrora.c-print] 11      emit | load 4 to R22.
   0       2246849  [avrora.c-print] 11      emit | push32
   0       2249847  [avrora.c-print] 11      emit | s: 2
   0       2253037  [avrora.c-print] 11      emit | [I32.ADD]
   0       2256519  [avrora.c-print] 11      emit | pop32 to R22.
   0       2260240  [avrora.c-print] 11      emit | pop32 to R18.
   0       2265237  [avrora.c-print] 11      emit | add32 R22. = R22. + R18.
   0       2268211  [avrora.c-print] 11      emit | push32
   0       2271209  [avrora.c-print] 11      emit | s: 1
   0       2275442  [avrora.c-print] 11      emit | [LOCAL.SET 8]
   0       2279156  [avrora.c-print] 11      emit | pop32 to R22...
   0       2284748  [avrora.c-print] 11      emit | Store R22... to local[12]
   0       2287881  [avrora.c-print] 11      emit | s: 0
   0       2292120  [avrora.c-print] 11      emit | [LOCAL.GET 5]
   0       2296885  [avrora.c-print] 11      emit | Ld R22. from local[0]
   0       2299929  [avrora.c-print] 11      emit | push32
   0       2302929  [avrora.c-print] 11      emit | s: 1
   0       2307162  [avrora.c-print] 11      emit | [LOCAL.GET 9]
   0       2312167  [avrora.c-print] 11      emit | Ld R22. from local[16]
   0       2315211  [avrora.c-print] 11      emit | push32
   0       2318211  [avrora.c-print] 11      emit | s: 2
